Tahun,Bulan,Minggu,KTM (Karcis Tiket Masuk) ,Glamping,Jumlah
2025,Januari,1,10,10,15
,,2,10,10,19
,,3,2,6,10
,,4,24,18,22
,Februari,1,33,7,110
,,2,24,13,44
,,3,15,1,16
,,4,29,8,44
,Maret,1,,,
,,2,,,
,,3,RAMADAN,,
,,4,,,
,,5,,,
,April,1,83,11,32
,,2,5,18,25
,,3,10,2,122
,,4,65,20,163
,Mei,1,11,2,57
,,2,39,14,28
,,3,37,4,36
,,4,6,2,93
,Juni,1,18,1,77
,,2,47,1,18
,,3,22,2,25
,,4,16,1,43
,,5,12,15,115
,Juli,1,35,5,44
,,2,30,12,55
,,3,32,6,35
,,4,34,1,131
,Agustus,1,20,16,18
,,2,10,2,24
,,3,10,3,38
,,4,27,1,140
,,5,15,12,55
,September,1,42,11,162
,,2,31,19,66
,,3,53,12,85
,,4,38,11,141
,Oktober,1,24,12,53
,,2,50,1,52
,,3,28,1,57
,,4,14,17,116
,November,1,30,1,63
,,2,31,2,47
,,3,52,5,86
,,4,53,1,220
,,5,97,1,263
,Desember,1,33,7,83
,,2,17,1,53
,,3,15,2,66
,,4,68,14,133
2024,Januari,1,22,16,41
,,2,32,2,39
,,3,44,15,53
,,4,15,3,51
,Februari,1,33,15,20
,,2,38,15,21
,,3,41,15,22
,,4,20,15,21
,Maret,1,,,
,,2,,,
,,3,RAMADAN,,
,,4,,,
,,5,,,
,April,1,20,3,28
,,2,32,3,125
,,3,34,3,118
,,4,37,5,42
,Mei,1,44,8,37
,,2,32,5,27
,,3,41,6,27
,,4,46,13,27
,Juni,1,51,10,27
,,2,22,21,54
,,3,25,4,190
,,4,23,4,88
,,5,25,6,66
,Juli,1,52,2,54
,,2,58,7,45
,,3,42,3,44
,,4,46,10,180
,Agustus,1,4,10,25
,,2,8,10,55
,,3,3,10,43
,,4,22,10,32
,September,1,15,1,56
,,2,54,9,40
,,3,4,8,73
,,4,12,13,72
,,5,22,12,50
,Oktober,1,11,5,21
,,2,11,5,22
,,3,19,6,35
,,4,24,18,41
,November,1,26,6,83
,,2,7,12,50
,,3,5,19,75
,,4,33,15,15
,Desember,1,14,17,10
,,2,5,1,7
,,3,8,12,17
,,4,4,5,8
,,5,12,12,18
