Tahun,Bulan,Minggu,KTM (Karcis Tiket Masuk) ,Glamping,Jumlah
2024,Januari,1,22.0,16.0,41.0
2024,Januari,2,32.0,2.0,39.0
2024,Januari,3,44.0,15.0,53.0
2024,Januari,4,15.0,3.0,51.0
2024,Februari,1,33.0,15.0,20.0
2024,Februari,2,38.0,15.0,21.0
2024,Februari,3,41.0,15.0,22.0
2024,Februari,4,20.0,15.0,21.0
2024,April,1,20.0,3.0,28.0
2024,April,2,32.0,3.0,125.0
2024,April,3,34.0,3.0,118.0
2024,April,4,37.0,5.0,42.0
2024,Mei,1,44.0,8.0,37.0
2024,Mei,2,32.0,5.0,27.0
2024,Mei,3,41.0,6.0,27.0
2024,Mei,4,46.0,13.0,27.0
2024,Juni,1,51.0,10.0,27.0
2024,Juni,2,22.0,21.0,54.0
2024,Juni,3,25.0,4.0,190.0
2024,Juni,4,23.0,4.0,88.0
2024,Juni,5,25.0,6.0,66.0
2024,Juli,1,52.0,2.0,54.0
2024,Juli,2,58.0,7.0,45.0
2024,Juli,3,42.0,3.0,44.0
2024,Juli,4,46.0,10.0,180.0
2024,Agustus,1,4.0,10.0,25.0
2024,Agustus,2,8.0,10.0,55.0
2024,Agustus,3,3.0,10.0,43.0
2024,Agustus,4,22.0,10.0,32.0
2024,September,1,15.0,1.0,56.0
2024,September,2,54.0,9.0,40.0
2024,September,3,4.0,8.0,73.0
2024,September,4,12.0,13.0,72.0
2024,September,5,22.0,12.0,50.0
2024,Oktober,1,11.0,5.0,21.0
2024,Oktober,2,11.0,5.0,22.0
2024,Oktober,3,19.0,6.0,35.0
2024,Oktober,4,24.0,18.0,41.0
2024,November,1,26.0,6.0,83.0
2024,November,2,7.0,12.0,50.0
2024,November,3,5.0,19.0,75.0
2024,November,4,33.0,15.0,15.0
2024,Desember,1,14.0,17.0,10.0
2024,Desember,2,5.0,1.0,7.0
2024,Desember,3,8.0,12.0,17.0
2024,Desember,4,4.0,5.0,8.0
2024,Desember,5,12.0,12.0,18.0
2025,Januari,1,10.0,10.0,15.0
2025,Januari,2,10.0,10.0,19.0
2025,Januari,3,2.0,6.0,10.0
2025,Januari,4,24.0,18.0,22.0
2025,Februari,1,33.0,7.0,110.0
2025,Februari,2,24.0,13.0,44.0
2025,Februari,3,15.0,1.0,16.0
2025,Februari,4,29.0,8.0,44.0
2025,April,1,83.0,11.0,32.0
2025,April,2,5.0,18.0,25.0
2025,April,3,10.0,2.0,122.0
2025,April,4,65.0,20.0,163.0
2025,Mei,1,11.0,2.0,57.0
2025,Mei,2,39.0,14.0,28.0
2025,Mei,3,37.0,4.0,36.0
2025,Mei,4,6.0,2.0,93.0
2025,Juni,1,18.0,1.0,77.0
2025,Juni,2,47.0,1.0,18.0
2025,Juni,3,22.0,2.0,25.0
2025,Juni,4,16.0,1.0,43.0
2025,Juni,5,12.0,15.0,115.0
2025,Juli,1,35.0,5.0,44.0
2025,Juli,2,30.0,12.0,55.0
2025,Juli,3,32.0,6.0,35.0
2025,Juli,4,34.0,1.0,131.0
2025,Agustus,1,20.0,16.0,18.0
2025,Agustus,2,10.0,2.0,24.0
2025,Agustus,3,10.0,3.0,38.0
2025,Agustus,4,27.0,1.0,140.0
2025,Agustus,5,15.0,12.0,55.0
2025,September,1,42.0,11.0,162.0
2025,September,2,31.0,19.0,66.0
2025,September,3,53.0,12.0,85.0
2025,September,4,38.0,11.0,141.0
2025,Oktober,1,24.0,12.0,53.0
2025,Oktober,2,50.0,1.0,52.0
2025,Oktober,3,28.0,1.0,57.0
2025,Oktober,4,14.0,17.0,116.0
2025,November,1,30.0,1.0,63.0
2025,November,2,31.0,2.0,47.0
2025,November,3,52.0,5.0,86.0
2025,November,4,53.0,1.0,220.0
2025,November,5,97.0,1.0,263.0
2025,Desember,1,33.0,7.0,83.0
2025,Desember,2,17.0,1.0,53.0
2025,Desember,3,15.0,2.0,66.0
2025,Desember,4,68.0,14.0,133.0
